"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,318.8038,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,308.7759,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,301.5516,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,305.3075,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,300.3849,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,117.3844,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,116.4904,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,126.3656,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,126.3795,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,138.1236,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,139.192,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,142.5423,,
"XTEXVA01","Exports in goods (value)","ITA","Italy","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,129.1543,,
